sample,group,position,variant,split,relative_path
V1_O_A$3D,1,O,A,train,Versuchsreihe2_B91$prj/V1_O_A$3D
V1_O_I$3D,1,O,I,train,Versuchsreihe2_B91$prj/V1_O_I$3D
V1_O_M$3D,1,O,M,train,Versuchsreihe2_B91$prj/V1_O_M$3D
V1_U_A$3D,1,U,A,train,Versuchsreihe2_B91$prj/V1_U_A$3D
V1_U_I$3D,1,U,I,train,Versuchsreihe2_B91$prj/V1_U_I$3D
V1_U_M$3D,1,U,M,train,Versuchsreihe2_B91$prj/V1_U_M$3D
V2_O_A$3D,2,O,A,train,Versuchsreihe2_B91$prj/V2_O_A$3D
V2_O_I$3D,2,O,I,train,Versuchsreihe2_B91$prj/V2_O_I$3D
V2_O_M$3D,2,O,M,train,Versuchsreihe2_B91$prj/V2_O_M$3D
V2_U_A$3D,2,U,A,train,Versuchsreihe2_B91$prj/V2_U_A$3D
V2_U_I$3D,2,U,I,train,Versuchsreihe2_B91$prj/V2_U_I$3D
V2_U_M$3D,2,U,M,train,Versuchsreihe2_B91$prj/V2_U_M$3D
V3_O_A$3D,3,O,A,train,Versuchsreihe2_B91$prj/V3_O_A$3D
V3_O_I$3D,3,O,I,train,Versuchsreihe2_B91$prj/V3_O_I$3D
V3_O_M$3D,3,O,M,train,Versuchsreihe2_B91$prj/V3_O_M$3D
V3_U_A$3D,3,U,A,train,Versuchsreihe2_B91$prj/V3_U_A$3D
V3_U_I$3D,3,U,I,train,Versuchsreihe2_B91$prj/V3_U_I$3D
V3_U_M$3D,3,U,M,train,Versuchsreihe2_B91$prj/V3_U_M$3D
V4_O_A$3D,4,O,A,train,Versuchsreihe2_B91$prj/V4_O_A$3D
V4_O_I$3D,4,O,I,train,Versuchsreihe2_B91$prj/V4_O_I$3D
V4_O_M$3D,4,O,M,train,Versuchsreihe2_B91$prj/V4_O_M$3D
V4_U_A$3D,4,U,A,train,Versuchsreihe2_B91$prj/V4_U_A$3D
V4_U_I$3D,4,U,I,train,Versuchsreihe2_B91$prj/V4_U_I$3D
V4_U_M$3D,4,U,M,train,Versuchsreihe2_B91$prj/V4_U_M$3D
V5_O_A$3D,5,O,A,train,Versuchsreihe2_B91$prj/V5_O_A$3D
V5_O_I$3D,5,O,I,train,Versuchsreihe2_B91$prj/V5_O_I$3D
V5_O_M$3D,5,O,M,train,Versuchsreihe2_B91$prj/V5_O_M$3D
V5_U_A$3D,5,U,A,train,Versuchsreihe2_B91$prj/V5_U_A$3D
V5_U_I$3D,5,U,I,train,Versuchsreihe2_B91$prj/V5_U_I$3D
V5_U_M$3D,5,U,M,train,Versuchsreihe2_B91$prj/V5_U_M$3D
V6_O_A$3D,6,O,A,train,Versuchsreihe2_B91$prj/V6_O_A$3D
V6_O_I$3D,6,O,I,train,Versuchsreihe2_B91$prj/V6_O_I$3D
V6_O_M$3D,6,O,M,train,Versuchsreihe2_B91$prj/V6_O_M$3D
V6_U_A$3D,6,U,A,train,Versuchsreihe2_B91$prj/V6_U_A$3D
V6_U_I$3D,6,U,I,train,Versuchsreihe2_B91$prj/V6_U_I$3D
V6_U_M$3D,6,U,M,train,Versuchsreihe2_B91$prj/V6_U_M$3D
V7_O_A$3D,7,O,A,train,Versuchsreihe2_B91$prj/V7_O_A$3D
V7_O_I$3D,7,O,I,train,Versuchsreihe2_B91$prj/V7_O_I$3D
V7_O_M$3D,7,O,M,train,Versuchsreihe2_B91$prj/V7_O_M$3D
V7_U_A$3D,7,U,A,train,Versuchsreihe2_B91$prj/V7_U_A$3D
V7_U_I$3D,7,U,I,train,Versuchsreihe2_B91$prj/V7_U_I$3D
V7_U_M$3D,7,U,M,train,Versuchsreihe2_B91$prj/V7_U_M$3D
V8_O_A$3D,8,O,A,train,Versuchsreihe2_B91$prj/V8_O_A$3D
V8_O_I$3D,8,O,I,train,Versuchsreihe2_B91$prj/V8_O_I$3D
V8_O_M$3D,8,O,M,train,Versuchsreihe2_B91$prj/V8_O_M$3D
V8_U_A$3D,8,U,A,train,Versuchsreihe2_B91$prj/V8_U_A$3D
V8_U_I$3D,8,U,I,train,Versuchsreihe2_B91$prj/V8_U_I$3D
V8_U_M$3D,8,U,M,train,Versuchsreihe2_B91$prj/V8_U_M$3D
V9_O_A$3D,9,O,A,train,Versuchsreihe2_B91$prj/V9_O_A$3D
V9_O_I$3D,9,O,I,train,Versuchsreihe2_B91$prj/V9_O_I$3D
V9_O_M$3D,9,O,M,train,Versuchsreihe2_B91$prj/V9_O_M$3D
V9_U_A$3D,9,U,A,train,Versuchsreihe2_B91$prj/V9_U_A$3D
V9_U_I$3D,9,U,I,train,Versuchsreihe2_B91$prj/V9_U_I$3D
V9_U_M$3D,9,U,M,train,Versuchsreihe2_B91$prj/V9_U_M$3D
V10_O_A$3D,10,O,A,train,Versuchsreihe2_B91$prj/V10_O_A$3D
V10_O_I$3D,10,O,I,train,Versuchsreihe2_B91$prj/V10_O_I$3D
V10_O_M$3D,10,O,M,train,Versuchsreihe2_B91$prj/V10_O_M$3D
V10_U_A$3D,10,U,A,train,Versuchsreihe2_B91$prj/V10_U_A$3D
V10_U_I$3D,10,U,I,train,Versuchsreihe2_B91$prj/V10_U_I$3D
V10_U_M$3D,10,U,M,train,Versuchsreihe2_B91$prj/V10_U_M$3D
V11_O_A$3D,11,O,A,train,Versuchsreihe2_B91$prj/V11_O_A$3D
V11_O_I$3D,11,O,I,train,Versuchsreihe2_B91$prj/V11_O_I$3D
V11_O_M$3D,11,O,M,train,Versuchsreihe2_B91$prj/V11_O_M$3D
V11_U_A$3D,11,U,A,train,Versuchsreihe2_B91$prj/V11_U_A$3D
V11_U_I$3D,11,U,I,train,Versuchsreihe2_B91$prj/V11_U_I$3D
V11_U_M$3D,11,U,M,train,Versuchsreihe2_B91$prj/V11_U_M$3D
V12_O_A$3D,12,O,A,train,Versuchsreihe2_B91$prj/V12_O_A$3D
